key;gender;frequency;probability;yoform
катерина;Ж;34500;0.0004281025950723108;катерина
кикилия;Ж;1;1.2408770871661183e-08;кикилия
ким;М;19400;0.00024073015491022696;ким
кима;Ж;100;1.2408770871661182e-06;кима
кира;Ж;14300;0.0001774454234647549;кира
кириена;Ж;8;9.927016697328946e-08;кириена
клавдея;Ж;1;1.2408770871661183e-08;клавдея
клавдия;Ж;3500;4.343069805081414e-05;клавдия
клара;Ж;6000;7.44526252299671e-05;клара
клариса;Ж;56;6.948911688130262e-07;клариса
клементина;Ж;200;2.4817541743322365e-06;клементина
клеопатра;Ж;500;6.204385435830591e-06;клеопатра
конкордия;Ж;800;9.927016697328946e-06;конкордия
констанция;Ж;200;2.4817541743322365e-06;констанция
корнелия;Ж;200;2.4817541743322365e-06;корнелия
крискентия;Ж;4;4.963508348664473e-08;крискентия
кристина;Ж;96300;0.001194964634940972;кристина
ксения;Ж;75300;0.0009343804466360871;ксения
ксенья;Ж;500;6.204385435830591e-06;ксенья
кулина;Ж;200;2.4817541743322365e-06;кулина
купава;Ж;93;1.15401569106449e-06;купава
